"TurnId","OrderNo","ItemNo","Direction1","Distance1","Direction2","Distance2","Direction3","Distance3"
"307EJan1808","29","","","","","","",""
"307EJan1808","30","","","","","","",""
"307EJan1809","1","","","","","","",""
"307EJan1809","2","","","","","","",""
"307EJan1809","3","","","","","","",""
"307EJan1809","4","","","","","","",""
"307EJan1809","5","","","","","","",""
"307EJan1809","6","","","","","","",""
"307EJan1809","7","","","","","","",""
"307EJan1809","8","","","","","","",""
"307EJan1809","9","","","","","","",""
"307EJan1809","10","","","","","","",""
"307EJan1809","11","","","","","","",""
"307EJan1809","12","","","","","","",""
"307EJan1809","13","","","","","","",""
"307EJan1809","14","","","","","","",""
"307EJan1809","15","","","","","","",""
"307EJan1809","16","","","","","","",""
"307EJan1809","17","","","","","","",""
"307EJan1809","18","","","","","","",""
"307EJan1809","19","","","","","","",""
"307EJan1809","20","","","","","","",""
"307EJan1809","21","","","","","","",""
"307EJan1809","22","","","","","","",""
"307EJan1809","23","","","","","","",""
"307EJan1809","24","","","","","","",""
"307EJan1809","25","","","","","","",""
"307EJan1809","26","","","","","","",""
"307EJan1809","27","","","","","","",""
"307EJan1809","28","","","","","","",""
"307EJan1809","29","","","","","","",""
"307EJan1809","30","","","","","","",""
"307EJul1808","1","","","","","","",""
"307EJul1808","2","","","","","","",""
"307EJul1808","3","","","","","","",""
"307EJul1808","4","","","","","","",""
"307EJul1808","5","","","","","","",""
"307EJul1808","6","","","","","","",""
"307EJul1808","7","","","","","","",""
"307EJul1808","8","","","","","","",""
"307EJul1808","9","","","","","","",""
"307EJul1808","10","","","","","","",""
"307EJul1808","11","","","","","","",""
"307EJul1808","12","","","","","","",""
"307EJul1808","13","","","","","","",""
"307EJul1808","14","","","","","","",""
"307EJul1808","15","","","","","","",""
"307EJul1808","16","","","","","","",""
"307EJul1808","17","","","","","","",""
"307EJul1808","18","","","","","","",""
"307EJul1808","19","","","","","","",""
"307EJul1808","20","","","","","","",""
"307EJul1808","21","","","","","","",""
"307EJul1808","22","","","","","","",""
"307EJul1808","23","","","","","","",""
"307EJul1808","24","","","","","","",""
"307EJul1808","25","","","","","","",""
"307EJul1808","26","","","","","","",""
"307EJul1808","27","","","","","","",""
"307EJul1808","28","","","","","","",""
"307EJul1808","29","","","","","","",""
"307EJul1808","30","","","","","","",""
"307EJul1809","1","","","","","","",""
"307EJul1809","2","","","","","","",""
"307EJul1809","3","","","","","","",""
"307EJul1809","4","","","","","","",""
"307EJul1809","5","","","","","","",""
"307EJul1809","6","","","","","","",""
"307EJul1809","7","","","","","","",""
"307EJul1809","8","","","","","","",""
"307EJul1809","9","","","","","","",""
"307EJul1809","10","","","","","","",""
"307EJul1809","11","","","","","","",""
"307EJul1809","12","","","","","","",""
"307EJul1809","13","","","","","","",""
"307EJul1809","14","","","","","","",""
"307EJul1809","15","","","","","","",""
"307EJul1809","16","","","","","","",""
"307EJul1809","17","","","","","","",""
"307EJul1809","18","","","","","","",""
"307EJul1809","19","","","","","","",""
"307EJul1809","20","","","","","","",""
"307EJul1809","21","","","","","","",""
"307EJul1809","22","","","","","","",""
"307EJul1809","23","","","","","","",""
"307EJul1809","24","","","","","","",""
"307EJul1809","25","","","","","","",""
"307EJul1809","26","","","","","","",""
"307EJul1809","27","","","","","","",""
"307EJul1809","28","","","","","","",""
"307EJul1809","29","","","","","","",""
"307EJul1809","30","","","","","","",""
"307EJun1808","1","","","","","","",""
"307EJun1808","2","","","","","","",""
"307EJun1808","3","","","","","","",""
"307EJun1808","4","","","","","","",""
"307EJun1808","5","","","","","","",""
"307EJun1808","6","","","","","","",""
"307EJun1808","7","","","","","","",""
"307EJun1808","8","","","","","","",""
"307EJun1808","9","","","","","","",""
"307EJun1808","10","","","","","","",""
"307EJun1808","11","","","","","","",""
"307EJun1808","12","","","","","","",""
"307EJun1808","13","","","","","","",""
"307EJun1808","14","","","","","","",""
"307EJun1808","15","","","","","","",""
"307EJun1808","16","","","","","","",""
"307EJun1808","17","","","","","","",""
"307EJun1808","18","","","","","","",""
"307EJun1808","19","","","","","","",""
"307EJun1808","20","","","","","","",""
"307EJun1808","21","","","","","","",""
"307EJun1808","22","","","","","","",""
"307EJun1808","23","","","","","","",""
"307EJun1808","24","","","","","","",""
"307EJun1808","25","","","","","","",""
"307EJun1808","26","","","","","","",""
"307EJun1808","27","","","","","","",""
"307EJun1808","28","","","","","","",""
"307EJun1808","29","","","","","","",""
"307EJun1808","30","","","","","","",""
"307EMar1808","1","","","","","","",""
"307EMar1808","2","","","","","","",""
"307EMar1808","3","","","","","","",""
"307EMar1808","4","","","","","","",""
"307EMar1808","5","","","","","","",""
"307EMar1808","6","","","","","","",""
"307EMar1808","7","","","","","","",""
"307EMar1808","8","","","","","","",""
"307EMar1808","9","","","","","","",""
"307EMar1808","10","","","","","","",""
"307EMar1808","11","","","","","","",""
"307EMar1808","12","","","","","","",""
"307EMar1808","13","","","","","","",""
"307EMar1808","14","","","","","","",""
"307EMar1808","15","","","","","","",""
"307EMar1808","16","","","","","","",""
"307EMar1808","17","","","","","","",""
"307EMar1808","18","","","","","","",""
"307EMar1808","19","","","","","","",""
"307EMar1808","20","","","","","","",""
"307EMar1808","21","","","","","","",""
"307EMar1808","22","","","","","","",""
"307EMar1808","23","","","","","","",""
"307EMar1808","24","","","","","","",""
"307EMar1808","25","","","","","","",""
"307EMar1808","26","","","","","","",""
"307EMar1808","27","","","","","","",""
"307EMar1808","28","","","","","","",""
"307EMar1808","29","","","","","","",""
"307EMar1808","30","","","","","","",""
"307EMay1808","1","","","","","","",""
"307EMay1808","2","","","","","","",""
"307EMay1808","3","","","","","","",""
"307EMay1808","4","","","","","","",""
"307EMay1808","5","","","","","","",""
"307EMay1808","6","","","","","","",""
"307EMay1808","7","","","","","","",""
"307EMay1808","8","","","","","","",""
"307EMay1808","9","","","","","","",""
"307EMay1808","10","","","","","","",""
"307EMay1808","11","","","","","","",""
"307EMay1808","12","","","","","","",""
"307EMay1808","13","","","","","","",""
"307EMay1808","14","","","","","","",""
"307EMay1808","15","","","","","","",""
"307EMay1808","16","","","","","","",""
"307EMay1808","17","","","","","","",""
"307EMay1808","18","","","","","","",""
"307EMay1808","19","","","","","","",""
"307EMay1808","20","","","","","","",""
"307EMay1808","21","","","","","","",""
"307EMay1808","22","","","","","","",""
"307EMay1808","23","","","","","","",""
"307EMay1808","24","","","","","","",""
"307EMay1808","25","","","","","","",""
"307EMay1808","26","","","","","","",""
"307EMay1808","27","","","","","","",""
"307EMay1808","28","","","","","","",""
"307EMay1808","29","","","","","","",""
"307EMay1808","30","","","","","","",""
"307EMay1809","1","","","","","","",""
"307EMay1809","2","","","","","","",""
"307EMay1809","3","","","","","","",""
"307EMay1809","4","","","","","","",""
"307EMay1809","5","","","","","","",""
"307EMay1809","6","","","","","","",""
"307EMay1809","7","","","","","","",""
"307EMay1809","8","","","","","","",""
"307EMay1809","9","","","","","","",""
"307EMay1809","10","","","","","","",""
"307EMay1809","11","","","","","","",""
"307EMay1809","12","","","","","","",""
"307EMay1809","13","","","","","","",""
"307EMay1809","14","","","","","","",""
"307EMay1809","15","","","","","","",""
"307EMay1809","16","","","","","","",""
"307EMay1809","17","","","","","","",""
"307EMay1809","18","","","","","","",""
"307EMay1809","19","","","","","","",""
"307EMay1809","20","","","","","","",""
"307EMay1809","21","","","","","","",""
"307EMay1809","22","","","","","","",""
"307EMay1809","23","","","","","","",""
"307EMay1809","24","","","","","","",""
"307EMay1809","25","","","","","","",""
"307EMay1809","26","","","","","","",""
"307EMay1809","27","","","","","","",""
"307EMay1809","28","","","","","","",""
"307EMay1809","29","","","","","","",""
"307EMay1809","30","","","","","","",""
"307ENov1808","1","","","","","","",""
"307ENov1808","2","","","","","","",""
"307ENov1808","3","","","","","","",""
"307ENov1808","4","","","","","","",""
"307ENov1808","5","","","","","","",""
"307ENov1808","6","","","","","","",""
"307ENov1808","7","","","","","","",""
"307ENov1808","8","","","","","","",""
"307ENov1808","9","","","","","","",""
"307ENov1808","10","","","","","","",""
"307ENov1808","11","","","","","","",""
"307ENov1808","12","","","","","","",""
"307ENov1808","13","","","","","","",""
"307ENov1808","14","","","","","","",""
"307ENov1808","15","","","","","","",""
"307ENov1808","16","","","","","","",""
"307ENov1808","17","","","","","","",""
"307ENov1808","18","","","","","","",""
"307ENov1808","19","","","","","","",""
"307ENov1808","20","","","","","","",""
"307ENov1808","21","","","","","","",""
"307ENov1808","22","","","","","","",""
"307ENov1808","23","","","","","","",""
"307ENov1808","24","","","","","","",""
"307ENov1808","25","","","","","","",""
"307ENov1808","26","","","","","","",""
"307ENov1808","27","","","","","","",""
"307ENov1808","28","","","","","","",""
"307ENov1808","29","","","","","","",""
"307ENov1808","30","","","","","","",""
"307ENov1809","1","","","","","","",""
"307ENov1809","2","","","","","","",""
"307ENov1809","3","","","","","","",""
"307ENov1809","4","","","","","","",""
"307ENov1809","5","","","","","","",""
"307ENov1809","6","","","","","","",""
"307ENov1809","7","","","","","","",""
"307ENov1809","8","","","","","","",""
"307ENov1809","9","","","","","","",""
"307ENov1809","10","","","","","","",""
"307ENov1809","11","","","","","","",""
"307ENov1809","12","","","","","","",""
"307ENov1809","13","","","","","","",""
"307ENov1809","14","","","","","","",""
"307ENov1809","15","","","","","","",""
"307ENov1809","16","","","","","","",""
"307ENov1809","17","","","","","","",""
"307ENov1809","18","","","","","","",""
"307ENov1809","19","","","","","","",""
"307ENov1809","20","","","","","","",""
"307ENov1809","21","","","","","","",""
"307ENov1809","22","","","","","","",""
"307ENov1809","23","","","","","","",""
"307ENov1809","24","","","","","","",""
"307ENov1809","25","","","","","","",""
"307ENov1809","26","","","","","","",""
"307ENov1809","27","","","","","","",""
"307ENov1809","28","","","","","","",""
"307ENov1809","29","","","","","","",""
"307ENov1809","30","","","","","","",""
"307EOct1808","1","","","","","","",""
"307EOct1808","2","","","","","","",""
"307EOct1808","3","","","","","","",""
"307EOct1808","4","","","","","","",""
"307EOct1808","5","","","","","","",""
"307EOct1808","6","","","","","","",""
